,video_name,video_year,video_link,name,artist,album,img,duration,tags,missing
152,Supreme x Nike SB - KING PUPPY,2016,https://www.skatevideosite.com/videos/supreme-x-nike-sb-king-puppy,(Oh) Pretty Woman,Van Halen,Diver Down,https://lastfm.freetls.fastly.net/i/u/34s/c5db3f1484ff463883a6aecd5f5b9915.png,173000,hard rock||rock||cover||classic rock||80s,False
13,Supreme - Pussy Gangster,2017,https://www.skatevideosite.com/videos/supreme-pussy-gangster,Ghetto Life,BOOM BACK,Ghetto Life,https://lastfm.freetls.fastly.net/i/u/34s/c5bfd5e98c69e64758592cfa3d7e3c05.png,0,reggae roots||pussy gangster,True
95,Supreme - Pussy Gangster,2017,https://www.skatevideosite.com/videos/supreme-pussy-gangster,Ghetto Life,BOOM BACK,Ghetto Life,https://lastfm.freetls.fastly.net/i/u/34s/c5bfd5e98c69e64758592cfa3d7e3c05.png,0,reggae roots||pussy gangster,True
19,"Supreme - ""BLESSED""",2018,https://www.skatevideosite.com/videos/supreme-blessed,I'm Goin' Down,Mary J. Blige,My Life,https://lastfm.freetls.fastly.net/i/u/34s/8e11a2d5c276fe38ec650888632e18f1.png,221000,soul||rnb||mary j blige||female vocalists||90s,False
96,"Supreme - ""BLESSED""",2018,https://www.skatevideosite.com/videos/supreme-blessed,"3. Sequentia: Lacrimosa (Requiem In D Minor, K.626)",Mozart,,,,,True
97,"Supreme - ""BLESSED""",2018,https://www.skatevideosite.com/videos/supreme-blessed,Birthday Boy,Ween,GodWeenSatan: The Oneness,https://lastfm.freetls.fastly.net/i/u/34s/ee2d78c4b94b09374844060414e15cd8.png,210000,shoegaze||Lo-Fi||noise pop||Psychedelic Rock||FUCKING AWESOME,False
14,"Supreme - ""BLESSED""",2018,https://www.skatevideosite.com/videos/supreme-blessed,"3. Sequentia: Lacrimosa (Requiem In D Minor, K.626)",Mozart,,,,,True
98,"Supreme - ""BLESSED""",2018,https://www.skatevideosite.com/videos/supreme-blessed,Mayonaise,The Smashing Pumpkins,Siamese Dream,https://lastfm.freetls.fastly.net/i/u/34s/53131f63cde3d29e26930209b91fce57.png,412000,alternative rock||rock||alternative||90s||Grunge,False
15,"Supreme - ""BLESSED""",2018,https://www.skatevideosite.com/videos/supreme-blessed,Birthday Boy,Ween,GodWeenSatan: The Oneness,https://lastfm.freetls.fastly.net/i/u/34s/ee2d78c4b94b09374844060414e15cd8.png,210000,shoegaze||Lo-Fi||noise pop||Psychedelic Rock||FUCKING AWESOME,False
16,"Supreme - ""BLESSED""",2018,https://www.skatevideosite.com/videos/supreme-blessed,Mayonaise,The Smashing Pumpkins,Siamese Dream,https://lastfm.freetls.fastly.net/i/u/34s/53131f63cde3d29e26930209b91fce57.png,412000,alternative rock||rock||alternative||90s||Grunge,False
